QuoteID,DateID,CustomerID,ProductID,QuoteValue,Status
Q000001,20240905,C0708,P015,5499,Lost
Q000002,20241118,C0353,P013,2301,Won
Q000003,20240812,C0691,P014,1930,Won
Q000004,20240120,C0791,P001,6476,Won
Q000005,20260619,C0050,P013,9751,Won
Q000006,20260220,C0692,P015,2464,Lost
Q000007,20240919,C0736,P010,3432,Pending
Q000008,20261122,C0220,P003,2646,Lost
Q000009,20261220,C0256,P013,8504,Won
Q000010,20240607,C0177,P003,899,Won
Q000011,20260715,C0210,P002,8505,Won
Q000012,20251024,C0723,P008,7001,Won
Q000013,20250317,C0450,P010,6697,Won
Q000014,20260219,C0410,P004,7946,Won
Q000015,20260712,C0205,P013,3691,Pending
Q000016,20251115,C0988,P005,8117,Won
Q000017,20250724,C0032,P002,9122,Lost
Q000018,20260109,C0639,P012,2130,Won
Q000019,20251121,C0426,P012,9259,Lost
Q000020,20260220,C0942,P002,5901,Lost
Q000021,20260128,C0379,P013,3666,Won
Q000022,20240603,C0767,P004,5800,Lost
Q000023,20241201,C0896,P015,1476,Won
Q000024,20260428,C0499,P010,9024,Lost
Q000025,20260415,C0521,P005,2677,Lost
Q000026,20261009,C0337,P012,9645,Lost
Q000027,20260305,C0795,P007,2589,Won
Q000028,20250629,C0613,P007,3485,Pending
Q000029,20260731,C0558,P008,6848,Pending
Q000030,20261202,C0716,P008,614,Won
Q000031,20240302,C0538,P015,2467,Won
Q000032,20240602,C0213,P005,3762,Lost
Q000033,20241020,C0599,P007,7378,Won
Q000034,20240711,C0158,P002,8744,Lost
Q000035,20251025,C0116,P009,2993,Won
Q000036,20260407,C0271,P013,2907,Won
Q000037,20240124,C0053,P010,528,Pending
Q000038,20260702,C0689,P011,9326,Won
Q000039,20260622,C0163,P009,564,Lost
Q000040,20260124,C0463,P015,9152,Lost
Q000041,20240213,C0102,P014,524,Won
Q000042,20260126,C0255,P015,1518,Won
Q000043,20250612,C0492,P007,8665,Lost
Q000044,20250123,C0615,P008,2538,Pending
Q000045,20260408,C0299,P008,647,Lost
Q000046,20250806,C0146,P012,2807,Won
Q000047,20260109,C0037,P003,9823,Won
Q000048,20250405,C0669,P011,1523,Won
Q000049,20250320,C0593,P003,9827,Won
Q000050,20260527,C0475,P004,4012,Pending
Q000051,20240325,C0413,P001,711,Lost
Q000052,20260323,C0160,P002,6432,Lost
Q000053,20250709,C0775,P009,1051,Won
Q000054,20260609,C0812,P012,2238,Lost
Q000055,20251021,C0388,P004,9889,Lost
Q000056,20250214,C0832,P011,8728,Lost
Q000057,20251130,C0110,P007,1068,Won
Q000058,20261227,C0646,P007,9969,Lost
Q000059,20241126,C0628,P001,7521,Won
Q000060,20241231,C0555,P003,2338,Won
Q000061,20250330,C0362,P010,2504,Lost
Q000062,20240803,C0199,P007,6168,Won
Q000063,20251023,C0781,P010,5249,Lost
Q000064,20241215,C0705,P013,3225,Lost
Q000065,20250609,C0465,P009,3682,Won
Q000066,20240803,C0418,P015,4210,Lost
Q000067,20250509,C0208,P013,7562,Won
Q000068,20240404,C0975,P008,3458,Won
Q000069,20260516,C0920,P011,8343,Won
Q000070,20241006,C0687,P014,5658,Won
Q000071,20260212,C0896,P007,6338,Won
Q000072,20261230,C0887,P002,6827,Won
Q000073,20250731,C0817,P006,8897,Won
Q000074,20261026,C0657,P003,5037,Won
Q000075,20241007,C0704,P012,2163,Won
Q000076,20241225,C0196,P012,8126,Won
Q000077,20260510,C0977,P007,9877,Lost
Q000078,20240824,C0375,P008,3275,Won
Q000079,20241120,C0968,P011,2076,Lost
