SaleID,DateID,CustomerID,ProductID,ManufacturerID,EmployeeID,InstallerID,Quantity,Revenue,Cost,Profit
S000001,20260426,C0339,P001,M008,E002,I002,1,705,458.25,246.75
S000002,20260413,C0669,P009,M008,E008,I002,3,2793,1536.15,1256.85
S000003,20240501,C0930,P006,M002,E010,I002,5,4838,2177.1,2660.9
S000004,20241224,C0428,P012,M003,E001,I004,4,576,374.4,201.6
S000005,20250815,C0898,P003,M001,E001,I003,5,2733,1639.8,1093.2
S000006,20251117,C0292,P010,M008,E009,I005,4,1019,662.35,356.65
S000007,20261029,C0480,P015,M005,E004,I001,3,774,503.1,270.9
S000008,20260728,C0664,P003,M005,E003,I001,3,2697,1618.2,1078.8
S000009,20250130,C0180,P013,M007,E007,I005,3,1104,717.6,386.4
S000010,20240714,C0190,P002,M003,E008,I003,2,1320,858.0,462.0
S000011,20260224,C0242,P001,M008,E005,I003,3,1034,672.1,361.9
S000012,20240124,C0268,P010,M006,E004,I001,1,2280,1482.0,798.0
S000013,20241123,C0416,P008,M005,E002,I003,3,4013,2207.15,1805.85
S000014,20250324,C0981,P010,M003,E008,I002,4,1252,813.8,438.2
S000015,20260204,C0426,P012,M008,E009,I002,2,1740,1131.0,609.0
S000016,20240616,C0539,P011,M008,E009,I003,1,2345,1524.25,820.75
S000017,20240817,C0064,P015,M004,E010,I005,2,1655,1075.75,579.25
S000018,20261201,C0453,P003,M002,E004,I005,4,1871,1122.6,748.4
S000019,20260701,C0829,P002,M001,E008,I002,5,1545,1004.25,540.75
S000020,20240428,C0573,P007,M008,E005,I001,4,6242,2808.9,3433.1
S000021,20250322,C0593,P005,M002,E001,I004,3,2524,1135.8,1388.2
S000022,20240503,C0958,P012,M002,E008,I001,3,630,409.5,220.5
S000023,20241004,C0785,P007,M007,E006,I004,4,3974,1788.3,2185.7
S000024,20260208,C0083,P014,M003,E006,I001,2,1273,827.45,445.55
S000025,20261219,C0131,P009,M004,E001,I001,3,4719,2595.45,2123.55
S000026,20260518,C0545,P008,M007,E004,I002,4,5960,3278.0,2682.0
S000027,20250718,C0194,P006,M002,E001,I004,5,3770,1696.5,2073.5
S000028,20250507,C0212,P013,M002,E002,I005,1,532,345.8,186.2
S000029,20250516,C0759,P008,M001,E007,I004,2,1898,1043.9,854.1
S000030,20240425,C0144,P009,M005,E004,I005,3,3279,1803.45,1475.55
S000031,20251018,C0243,P010,M005,E003,I005,2,2024,1315.6,708.4
S000032,20250717,C0063,P007,M003,E007,I005,4,4961,2232.45,2728.55
S000033,20260219,C0805,P001,M006,E007,I004,2,1205,783.25,421.75
S000034,20250111,C0773,P005,M008,E004,I002,3,5583,2512.35,3070.65
S000035,20260806,C0937,P014,M001,E009,I004,4,795,516.75,278.25
S000036,20241001,C0398,P009,M004,E005,I002,3,5841,3212.55,2628.45
S000037,20260710,C0868,P011,M006,E002,I005,2,961,624.65,336.35
S000038,20260211,C0690,P001,M001,E002,I002,5,1049,681.85,367.15
S000039,20250320,C0491,P012,M004,E006,I003,1,1644,1068.6,575.4
S000040,20240828,C0765,P004,M008,E004,I005,2,1589,953.4,635.6
S000041,20251020,C0795,P007,M005,E007,I004,5,4460,2007.0,2453.0
S000042,20250923,C0268,P011,M006,E009,I004,4,1535,997.75,537.25
S000043,20251017,C0937,P002,M004,E006,I003,4,1461,949.65,511.35
S000044,20250329,C0760,P001,M003,E001,I003,5,1652,1073.8,578.2
S000045,20260505,C0303,P015,M003,E004,I003,2,1696,1102.4,593.6
S000046,20250518,C0512,P007,M006,E005,I004,4,7167,3225.15,3941.85
S000047,20251222,C0174,P008,M003,E009,I004,2,2878,1582.9,1295.1
S000048,20240430,C0537,P015,M001,E002,I001,1,1610,1046.5,563.5
S000049,20250418,C0070,P007,M003,E001,I002,5,3626,1631.7,1994.3
S000050,20240503,C0633,P008,M008,E008,I001,1,4557,2506.35,2050.65
S000051,20240125,C0018,P009,M005,E009,I003,1,4869,2677.95,2191.05
S000052,20250102,C0110,P009,M002,E009,I002,2,5027,2764.85,2262.15
S000053,20261214,C0259,P004,M006,E005,I004,1,2469,1481.4,987.6
S000054,20260729,C0579,P006,M004,E004,I003,1,5826,2621.7,3204.3
S000055,20240305,C0096,P011,M007,E007,I004,5,2130,1384.5,745.5
S000056,20240120,C0720,P008,M003,E002,I004,4,1959,1077.45,881.55
S000057,20251109,C0580,P011,M002,E009,I001,2,2406,1563.9,842.1
S000058,20260831,C0278,P004,M001,E002,I003,5,2977,1786.2,1190.8
S000059,20240308,C0184,P010,M006,E001,I002,5,2147,1395.55,751.45
S000060,20260326,C0952,P003,M002,E005,I002,5,2740,1644.0,1096.0
S000061,20260307,C0694,P004,M006,E007,I002,1,2360,1416.0,944.0
S000062,20240419,C0101,P009,M007,E004,I001,3,4333,2383.15,1949.85
S000063,20260323,C0993,P010,M006,E001,I003,4,2374,1543.1,830.9
S000064,20251229,C0567,P008,M007,E007,I002,5,3368,1852.4,1515.6
